comments_es,satisfied
alli los tipos de interes de las hipotecas son demasiado elevados ojala no hubiera abierto una cuenta en este banco,Negativo
en general estas haciendo un trabajo decente,Positivo
los tipos de ahorro bancario son demasiado bajos,Negativo
me estoy cansando de todas las comisiones bancarias inesperadas el mal servicio general del banco me hace considerar cambiarme,Negativo
sin comentarios,Negativo
esto no es lo suficientemente bueno,Negativo
el banco tiene tasas hipotecarias competitivas que vale la pena considerar,Positivo
supongo que todo es bastante decente en general,Positivo
las comisiones bancarias son manejables estoy completamente satisfecho con los servicios bancarios y en general soy un cliente satisfecho,Positivo
estoy considerando seriamente llevar mi negocio a otra parte,Negativo
sus servicios bancarios tienen un alcance limitado tenia mayores expectativas sobre el servicio brindado,Negativo
deja de subir las tasas de tu hipoteca no feliz no se lo recomendaria a un amigo,Negativo
sin comentariossin comentarios,Negativo
el banco ofrece algunas buenas tasas de ahorro estoy bastante satisfecho con mi banco,Positivo
el pobre servidor general del banco me hace considerar cambiar,Negativo
la aplicacion movil del banco necesita mejoras el desempeno de este banco es inaceptable,Negativo
en general estoy bastante satisfecho,Positivo
buenas tasas de ahorro la aplicacion movil que ofrece el banco es de alta calidad,Positivo
la privacidad de los datos es un area en la que el banco necesita mejorar realmente inaceptable,Negativo
su banco deberia retribuir a la comunidad local esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
la red de cajeros automaticos de este banco es excelente bastante satisfecho con mi banco,Positivo
estoy decepcionado con el servicio brindado,Negativo
el servicio brindado por este banco es muy decepcionante,Negativo
la aplicacion movil no es buena el banco tiene muy pocos servicios que cumplan con mis requisitos realmente no estoy contento contigo,Negativo
la experiencia web del banco es decepcionante esperaba un mejor nivel de servicio de mi banco y me siento decepcionado,Negativo
en general estoy muy contento,Positivo
creo que el banco tiene el potencial de tener un impacto positivo en la comunidad si tan solo se esforzara un poco mas realmente inaceptable,Negativo
necesitas redisenar tu aplicacion movil,Negativo
la aplicacion movil parece ser segura,Positivo
el servicio al cliente del banco es excepcional estoy bastante contento con el servicio del banco,Positivo
no aplicable,Negativo
el servicio de atencion al cliente del banco no es util mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
el servicio al cliente brindado es de mala educacion ojala no hubiera abierto una cuenta en este banco,Negativo
las tasas hipotecarias son demasiado altas el desempeno de este banco es inaceptable,Negativo
no me gusta el sitio online del banco,Negativo
quiero que el banco sea mas transparente sobre como se utiliza mi cita el mal servicio general del banco ha hecho que se este contemplando el cambio,Negativo
estoy cansado del mal servicio al cliente de los bancos las tasas hipotecarias son una carga demasiado pesada simplemente inaceptable realmente,Negativo
tus honorarios son demasiado tuve una experiencia tan mala con los servicios de su banco que desaconsejaria su uso,Negativo
en comparacion con otros bancos las tarifas de este banco son competitivas supongo que en general todo esta bien,Positivo
mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
es importante que nuestro banco muestre mas responsabilidad hacia el medio ambiente,Negativo
ustedes necesitan hacerlo mejor,Negativo
su banco necesita mostrar mas apoyo a las causas locales creo que voy a cambiarme por un competidor,Negativo
tu experiencia con la aplicacion es decepcionante esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
aprecio lo facil que es acceder a mi cuenta en linea las tasas de ahorro del banco son competitivas con las de otros bancos de la industria,Positivo
las comisiones bancarias son demasiado altas,Negativo
me gusta la aplicacion movil cosas decentes en general,Positivo
la experiencia de servicio al cliente es desagradable lo que experimente simplemente no es aceptable,Negativo
decepcionado con el servicio prestado por este banco,Negativo
su mal servicio me esta haciendo cambiar de banco,Negativo
las tarifas estan consumiendo mis ahorros espero un mejor trato por parte de mi banco pronto cambiare de banco debido a la mala experiencia general,Negativo
creo que la aplicacion movil proporcionada por el banco es excelente estoy muy contento con mi banco en general,Positivo
sin comentarios,Positivo
estoy decepcionado con el servicio prestado,Negativo
el sitio web de los bancos es bastante facil de usar estoy bastante satisfecho en general,Positivo
tu mal servicio me esta haciendo cambiar de banco,Negativo
las tarifas y cargos no son excesivos con este banco,Positivo
no me gusta la aplicacion movil pronto cambiare de banco debido a la mala experiencia general,Negativo
el banco pone gran enfasis en la proteccion de los datos de los clientes en terminos generales estoy bastante satisfecho con el servicio,Positivo
el medio ambiente es una responsabilidad compartida y su banco puede hacerlo mejor esto no es lo suficientemente bueno,Negativo
no hay nada que comentar aqui,Negativo
las ubicaciones del banco no son convenientes estoy considerando seriamente cambiarme a otro banco,Negativo
este banco ofrece excelentes servicios que se adaptan a mis necesidades estoy satisfecho con el servicio brindado,Positivo
nada que comentar aqui,Positivo
necesitas redisenar tu aplicacion movil,Negativo
sin comentarios,Negativo
los servicios realmente necesitan mejorarse en este banco,Negativo
el portal de banca online del banco es de primera categoria v satisfecho con el excelente servicio bancario brindado,Positivo
las tasas hipotecarias que ofrece este banco son impresionantes la privacidad de los datos se toma en serio en general estas encontrando,Positivo
la aplicacion movil proporcionada por el banco es realmente comoda estoy bastante contento con mi banco,Positivo
en general estoy contento con mi banco,Positivo
no es lo suficientemente bueno en absoluto,Negativo
las tarifas por abrir una nueva cuenta son demasiado altas los servicios realmente necesitan mejorarse en este banco,Negativo
las sucursales bancarias son realmente faciles de encontrar,Positivo
sin comentariossin comentarios,Positivo
buen servicio al cliente estoy bastante satisfecho,Positivo
la banca en linea es realmente pobre esto es inaceptable y es necesario abordarlo,Negativo
los productos financieros de los bancos deben ser mas diversos no estoy seguro de que me quede en este banco por mucho mas tiempo,Negativo
el banco realmente deberia contribuir mas a nuestra comunidad esto es inaceptable y debe abordarse,Negativo
este banco apoya activamente la escena artistica local,Positivo
no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
quiero que el banco sea mas transparente sobre como se utilizan mis datos estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
la aplicacion movil del banco hace que realizar operaciones bancarias sobre la marcha sea muy sencillo muy contento con mi banco,Positivo
los servicios bancarios son muy buenos y superan mis expectativas en general lo estas haciendo bien,Positivo
estoy completamente decepcionado con el nivel de servicio brindado por este banco,Negativo
la banca en linea es comoda y facil con este banco,Positivo
el servicio al cliente del banco es una de sus mejores caracteristicas las tasas hipotecarias parecen bastante justas en general estoy satisfecho con el servicio que brindan,Positivo
estoy pensando en cerrar mi cuenta,Negativo
sin comentarios,Positivo
las tasas de ahorro de usted son muy bajas realmente era necesario mejorar los servicios en este banco,Negativo
es dificil encontrar cajeros automaticos para este banco,Negativo
esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
en comparacion con otros bancos las tarifas de este banco son competitivas supongo que todo esta bien en general,Positivo
sin comentarios,Negativo
sin comentarios,Positivo
las tasas hipotecarias disponibles en este banco son bastante competitivas cosas decentes en general,Positivo
el servicio de atencion al cliente del banco es bastante descortes realmente no estoy satisfecho,Negativo
nada que decir,Negativo
las tasas de ahorro bancarias son muy bajas no es lo suficientemente bueno en absoluto,Negativo
su banco necesita mostrar mas apoyo a las causas locales servicio realmente pobre en general considerando cambiar de banco,Negativo
este banco me ha cobrado tarifas inesperadas creo que cerrare mi cuenta,Negativo
este banco tiene buenas opciones para tasas hipotecarias y de ahorro cosas decentes en general,Positivo
lo que experimente simplemente no es aceptable,Negativo
el servicio al cliente del banco es frustrante siento que su banco no valora a sus clientes pensando en cerrar mi cuenta,Negativo
las sucursales bancarias son dificiles de encontrar estoy pensando en cambiar de banco debido al mal servicio que siempre ofrecen,Negativo
buena aplicacion segura para telefonos moviles proporcionada por este banco muy satisfecho,Positivo
esta banca tiene buenas opciones para tasas hipotecarias y de ahorro opcion bastante justa para la banca,Positivo
los servicios del banco son muy buenos y superan mis expectativas bastante satisfecho en general,Positivo
sin comentarios,Positivo
sin comentarios,Positivo
la gama de productos hipotecarios que ofrece este banco es impresionante,Positivo
enhorabuena por su servicio al cliente estoy bastante satisfecho en general,Positivo
la gama de productos hipotecarios que ofrece este banco es impresionante cosas decentes en general,Positivo
las tasas hipotecarias de este banco son bastante competitivas bien en general,Positivo
estoy bastante contento con mi banco,Positivo
realmente no estoy contento con este banco,Negativo
los cargos por los servicios de este banco son razonables bien en general,Positivo
la falta de participacion comunitaria por parte del banco es decepcionante completamente decepcionado molesto con el servicio brindado,Negativo
muchas sucursales,Positivo
creo que el banco tiene el potencial de generar un impacto positivo en la comunidad si tan solo se esforzara un poco mas realmente pobres en general creo que cambiare de banda pronto,Negativo
las sucursales del banco son dificiles de encontrar el banco deberia asumir un papel de liderazgo en el desarrollo comunitario realmente inaceptable,Negativo
sin comentarios,Positivo
este banco ofrece tasas de interes de ahorro bastante buenas me alegra que se tome en serio la seguridad de la banca en linea,Positivo
las tasas de ahorro de los bancos son competitivas con las de otros bancos de la industria tecnologica supongo que en general todo esta bien,Positivo
estoy agradecido de que mi banco apoye tanto a nuestras escuelas como al centro comunitario supongo que en general todo esta bien,Positivo
la aplicacion movil no sirve debe intentarlo mas,Negativo
el servicio brindado a los clientes es una falta de respeto pensando en cerrar mi cuenta,Negativo
muy pocas sucursales para este banco cambiare de banco pronto debido a la mala experiencia general,Negativo
el servicio al cliente en este banco es de primera las tasas de ahorro son competitivas,Positivo
necesitamos esforzarnos mas,Negativo
bastante bien,Positivo
los cargos son bastante justos por los servicios prestados por este banco en general es una opcion razonablemente buena para la banca,Positivo
buen portal de banca online estoy bastante satisfecho,Positivo
no entiendo por que me cobran tantos honorarios el banco deberia priorizar la privacidad de los datos el nivel de servicio al cliente proporcionado por su banco es deficiente,Negativo
las comisiones bancarias son bastante razonables considerando todo la aplicacion movil es realmente buena el banco es decente en general,Positivo
en general estoy muy contento y satisfecho con los servicios bancarios brindados por mi banco,Positivo
la aplicacion movil del banco no es satisfactoria,Negativo
podria cerrar mi cuenta ahora,Negativo
la proteccion de los datos de los clientes es un aspecto crucial para el banco,Positivo
las tasas hipotecarias parecen bastante justas,Positivo
el banco tiene una gama limitada de servicios que me atienden su banco necesita trabajar para mejorar la satisfaccion del cliente estoy explorando otras opciones debido al servicio inadecuado,Negativo
la banca en linea es realmente buena en general estoy satisfecho con el servicio que brindan,Positivo
hay una falta de servicio al cliente la transparencia sobre como utilizas mis datos es necesaria no se lo recomendaria a un amigo,Negativo
buena gama de servicios financieros proporcionados por este banco razonablemente feliz en general,Positivo
tasas de interes de ahorro bastante buenas en general estoy bastante contento con mi banco,Positivo
el servicio de este banco es realmente inaceptable,Negativo
la participacion de la comunidad es una oportunidad para que el banco marque la diferencia servicios al cliente no son buenos el mal servicio general del banco me hace considerar cambiarme,Negativo
es fantastico ver que mi banco esta teniendo un impacto positivo en su comunidad,Positivo
las manzanas moviles deben ser mas seguras espere un mayor nivel de servicio de este banco y me decepcionaron,Negativo
no me gusta la aplicacion movil del banco estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
el banco se toma en serio la privacidad de los datos este banco tiene un fuerte compromiso con la responsabilidad social corporativa,Positivo
buenas opciones de hipotecas y tasas de ahorro las cosas estan bastante bien pero podrian mejorar,Neutro
estas tarifas por los servicios bancarios basicos no son razonables,Negativo
la aplicacion movil no es buena no siento que este banco valore mi negocio,Negativo
el servicio brindado a los clientes no es util,Negativo
es muy inconveniente hacer negocios con este banco estoy considerando seriamente cambiarme a otro banco,Negativo
la aplicacion movil del banco que ofrece el banco es segura y facil de usar,Positivo
no me gusta tu sitio pank en linea harto del mal servicio al cliente de los bancos lamento haber abierto una cuenta en este banco,Negativo
la proteccion de los datos de los clientes es un aspecto crucial para el banco,Positivo
los servicios de su banco tienen un alcance limitado quiero saber mas sobre lo que haces con mis datos realmente no satisfecho,Negativo
las tarifas por abrir una cuenta nueva son demasiado altas lo que experimente simplemente no es aceptable,Negativo
sin comentarios,Negativo
las tasas de interes de sus ahorros son mas bajas que las de otros bancos el desempeno de este banco es inaceptable,Negativo
en general estas bien,Positivo
es necesario mejorar la seguridad de la aplicacion movil estoy considerando seriamente cambiarme de banco,Negativo
no me gusta pagar todas estas comisiones bancarias innecesarias realmente no estoy contento contigo,Negativo
las tasas de ahorro proporcionadas por su banco son buenas y beneficiosas para los clientes supongo que todo esta bien en general,Positivo
la aplicacion para telefono del banco me parece realmente sorprendente es bueno ver que mi banco se toma en serio las preocupaciones medioambientales en general estoy contento con mi banco,Positivo
la aplicacion movil proporcionada por el banco es facil de usar las tasas hipotecarias proporcionadas por tu banco son impresionantes opcion bastante justa para la banca,Positivo
no hay muchas sucursales bancarias por aqui debes tomarte mas en serio la privacidad de los datos considerando seriamente cambiarse a un banco rival,Negativo
sin comentarios,Positivo
estoy muy satisfecho con el servicio de mi banco y lo recomendaria absolutamente,Positivo
esperaba un mejor nivel de servicio de mi banco y me siento decepcionado,Negativo
no es lo suficientemente bueno en absoluto,Negativo
las sucursales bancarias son dificiles de encontrar,Negativo
las tasas de ahorro que ofrece este banco son bastante competitivas,Positivo
no estoy seguro de confiar mis datos a este banco esto es inaceptable,Negativo
el servicio brindado a sus clientes es constantemente decepcionante esto es inaceptable y debe abordarse,Negativo
la banca en linea es conveniente y facil con este banco en general estoy contento con mi banco,Positivo
nada mas,Negativo
aprecio mucho la aplicacion movil del banco en general estoy razonablemente satisfecho con mi banco,Positivo
sin comentarios,Negativo
nada que agregar,Negativo
la aplicacion movil del banco cuenta con solidas medidas de seguridad estoy muy impresionado con la tabla y su personal,Positivo
no estoy seguro de quedarme en este banco por mucho mas tiempo,Negativo
la banca en linea es absolutamente buena todo esta bastante bien,Positivo
las sucursales de los bancos estan en buenas ubicaciones las tasas hipotecarias disponibles en este banco son bastante competitivas estoy satisfecho con mi banco,Positivo
sin comentarios,Positivo
el servicio al cliente de los bancos es desagradable estoy considerando seriamente cambiarme a otro banco,Negativo
el servicio al cliente del banco es muy insatisfactorio lo que experimente simplemente no es aceptable,Negativo
el banco necesita hacer mas por la comunidad no estoy seguro si permanecere enfermo en este banco por mucho mas tiempo,Negativo
sin comentarios,Negativo
la experiencia de la banca en linea es insatisfactoria estoy pensando en cambiar de banco debido al mal servicio que siempre ofrecen,Negativo
el servicio al cliente no es solidario,Negativo
sin comentarios,Negativo
el servicio al cliente en el banco es excelente opcion razonablemente buena para la banca,Positivo
las tasas de ahorro que ofrece el banco se encuentran entre las mejores del mercado los servicios bancarios y el soporte han sido excelentes y estoy completamente satisfecho,Positivo
los cargos bancarios se estan volviendo irrazonables y el mal servicio general del banco me hace pensar dos veces antes de cambiar,Negativo
el banco tiene sucursales ubicadas en lugares inconvenientes creo que voy a cambiarme a un competidor,Negativo
las ofertas hipotecarias del banco son bastante limitadas no estoy satisfecho con el nivel de servicio brindado por su banco,Negativo
el banco no esta haciendo lo suficiente para apoyar a las organizaciones locales,Negativo
la participacion de la comunidad deberia ser una prioridad para el banco esperaba un mayor nivel de servicio de este banco y me decepcionaron,Negativo
podria cerrar mi cuenta,Negativo
el banco podria hacer mas para proteger el medio ambiente no se lo recomendaria a un amigo,Negativo
necesidad de ampliar su gama de productos financieros esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
sin comentarios,Negativo
sin comentarios,Negativo
sus comisiones bancarias son excesivas la privacidad de los datos es un area en la que el banco necesita mejorar esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
las tasas de interes de los ahorros son inaceptablemente bajas no feliz no lo recomendaria a mi amigo,Negativo
los productos financieros que ofrece el banco son diversos y beneficiosos identificacion bancaria decente en general,Positivo
el banco ofrece buenas tasas de ahorro mi banco ha superado mis expectativas y estoy completamente satisfecho,Positivo
